Atleta,Fecha,Distancia_km,Sprint_m,Carga_Diaria,Carga_Aguda,Carga_Cronica,ACWR,Zona_Riesgo
Atleta_01,2026-04-13,8.67,465.8,487.61,523.41,513.7,1.02,Zona Optima
Atleta_01,2026-04-14,6.77,617.3,458.01,528.62,521.98,1.01,Zona Optima
Atleta_01,2026-04-15,3.56,623.6,326.47,505.99,515.75,0.98,Zona Optima
Atleta_01,2026-04-16,5.23,607.9,392.08,468.98,515.48,0.91,Zona Optima
Atleta_01,2026-04-17,6.69,442.8,406.46,469.81,508.36,0.92,Zona Optima
Atleta_01,2026-04-18,7.33,890.5,546.67,424.03,507.5,0.84,Zona Optima
Atleta_01,2026-04-19,4.09,601.2,351.71,424.14,505.72,0.84,Zona Optima
Atleta_01,2026-04-20,7.37,651.0,491.65,424.72,504.16,0.84,Zona Optima
Atleta_01,2026-04-21,10.89,109.8,463.07,425.44,500.49,0.85,Zona Optima
Atleta_01,2026-04-22,11.66,185.1,532.13,454.82,505.69,0.9,Zona Optima
Atleta_01,2026-04-23,6.67,418.3,387.09,454.11,496.5,0.91,Zona Optima
Atleta_01,2026-04-24,8.57,249.1,566.94,477.04,497.68,0.96,Zona Optima
Atleta_01,2026-04-25,8.68,495.6,497.2,469.97,496.75,0.95,Zona Optima
Atleta_01,2026-04-26,5.03,375.5,317.58,465.09,486.36,0.96,Zona Optima
Atleta_01,2026-04-27,11.58,484.6,604.57,481.23,493.45,0.98,Zona Optima
Atleta_01,2026-04-28,8.57,371.2,452.97,479.78,492.38,0.97,Zona Optima
Atleta_01,2026-04-29,8.44,656.1,726.61,507.57,500.05,1.02,Zona Optima
Atleta_01,2026-04-30,10.64,717.9,645.37,544.46,510.14,1.07,Zona Optima
Atleta_01,2026-05-01,8.39,300.0,423.0,523.9,502.4,1.04,Zona Optima
Atleta_01,2026-05-02,6.36,416.3,380.66,507.25,493.89,1.03,Zona Optima
Atleta_01,2026-05-03,9.23,764.0,600.53,547.67,501.18,1.09,Zona Optima
Atleta_01,2026-05-04,10.19,154.5,449.1,525.46,488.71,1.08,Zona Optima
Atleta_01,2026-05-05,8.19,111.3,365.38,512.95,486.7,1.05,Zona Optima
Atleta_01,2026-05-06,4.69,375.0,304.43,452.64,480.26,0.94,Zona Optima
Atleta_01,2026-05-07,10.01,902.5,665.68,455.54,480.77,0.95,Zona Optima
Atleta_01,2026-05-08,6.61,369.0,369.91,447.96,479.67,0.93,Zona Optima
Atleta_01,2026-05-09,9.44,419.6,495.83,464.41,466.41,1.0,Zona Optima
Atleta_01,2026-05-10,8.39,247.4,409.56,437.13,468.51,0.93,Zona Optima
Atleta_01,2026-05-11,8.92,330.3,459.33,438.59,467.5,0.94,Zona Optima
Atleta_01,2026-05-12,9.37,760.1,598.0,471.82,472.5,1.0,Zona Optima
Atleta_01,2026-05-13,7.34,574.4,623.76,517.44,483.12,1.07,Zona Optima
Atleta_01,2026-05-14,12.05,401.1,602.6,508.43,490.64,1.04,Zona Optima
Atleta_01,2026-05-15,9.77,611.5,580.96,538.58,496.87,1.08,Zona Optima
Atleta_01,2026-05-16,11.15,528.4,601.0,553.6,498.81,1.11,Zona Optima
Atleta_01,2026-05-17,9.18,484.6,508.93,567.8,504.42,1.13,Zona Optima
Atleta_01,2026-05-18,9.56,502.4,532.09,578.19,505.87,1.14,Zona Optima
Atleta_01,2026-05-19,7.2,833.9,727.74,596.73,515.32,1.16,Zona Optima
Atleta_01,2026-05-20,8.46,794.9,563.16,588.07,516.43,1.14,Zona Optima
Atleta_01,2026-05-21,4.54,455.6,313.44,546.76,513.8,1.06,Zona Optima
Atleta_01,2026-05-22,7.55,344.8,542.68,541.29,512.93,1.06,Zona Optima
Atleta_01,2026-05-23,10.74,351.1,730.66,559.81,521.27,1.07,Zona Optima
Atleta_01,2026-05-24,3.81,898.2,570.4,568.6,530.3,1.07,Zona Optima
Atleta_01,2026-05-25,7.67,363.7,564.48,573.22,528.87,1.08,Zona Optima
Atleta_01,2026-05-26,4.26,787.6,420.76,529.37,527.72,1.0,Zona Optima
Atleta_01,2026-05-27,10.95,125.0,649.66,541.73,524.97,1.03,Zona Optima
Atleta_01,2026-05-28,4.37,795.7,564.7,577.62,522.09,1.11,Zona Optima
Atleta_01,2026-05-29,4.68,763.0,408.73,558.48,521.58,1.07,Zona Optima
Atleta_01,2026-05-30,9.46,554.7,549.72,532.64,527.62,1.01,Zona Optima
Atleta_01,2026-05-31,9.6,618.8,571.24,532.76,526.57,1.01,Zona Optima
Atleta_01,2026-06-01,7.49,419.7,425.15,512.85,525.71,0.98,Zona Optima
Atleta_01,2026-06-02,8.85,361.1,460.02,518.46,529.09,0.98,Zona Optima
Atleta_01,2026-06-03,9.43,132.6,419.12,485.53,533.19,0.91,Zona Optima
Atleta_01,2026-06-04,4.09,397.4,285.56,445.65,519.61,0.86,Zona Optima
Atleta_01,2026-06-05,6.95,248.4,483.0,456.26,523.65,0.87,Zona Optima
Atleta_01,2026-06-06,6.85,337.1,375.53,431.37,519.36,0.83,Zona Optima
Atleta_01,2026-06-07,7.32,866.6,560.14,429.79,524.73,0.82,Zona Optima
Atleta_01,2026-06-08,10.68,836.5,679.09,466.07,532.58,0.88,Zona Optima
Atleta_01,2026-06-09,8.03,763.1,556.58,479.86,531.1,0.9,Zona Optima
Atleta_01,2026-06-10,11.06,148.9,481.93,488.83,526.04,0.93,Zona Optima
Atleta_01,2026-06-11,6.45,354.0,495.62,518.84,522.22,0.99,Zona Optima
Atleta_01,2026-06-12,11.98,286.6,573.82,531.82,521.96,1.02,Zona Optima
Atleta_01,2026-06-13,3.9,819.1,406.24,536.2,515.01,1.04,Zona Optima
Atleta_01,2026-06-14,9.99,160.9,451.42,520.67,512.95,1.02,Zona Optima
Atleta_01,2026-06-15,6.85,487.0,411.58,482.46,508.65,0.95,Zona Optima
Atleta_01,2026-06-16,12.02,337.0,588.57,487.03,503.68,0.97,Zona Optima
Atleta_01,2026-06-17,11.89,433.9,606.05,504.76,505.21,1.0,Zona Optima
Atleta_01,2026-06-18,4.51,389.4,296.04,476.25,504.59,0.94,Zona Optima
Atleta_01,2026-06-19,4.88,382.2,419.57,454.21,500.19,0.91,Zona Optima
Atleta_01,2026-06-20,4.15,399.6,286.45,437.1,484.33,0.9,Zona Optima
Atleta_01,2026-06-21,4.64,799.7,425.5,433.39,479.15,0.9,Zona Optima
Atleta_01,2026-06-22,11.68,114.3,494.13,445.19,476.64,0.93,Zona Optima
Atleta_01,2026-06-23,5.99,552.6,398.24,418.0,475.84,0.88,Zona Optima
Atleta_01,2026-06-24,8.29,748.4,756.82,439.54,479.66,0.92,Zona Optima
Atleta_01,2026-06-25,8.84,156.1,404.75,455.07,473.95,0.96,Zona Optima
Atleta_01,2026-06-26,10.38,582.4,586.24,478.88,480.29,1.0,Zona Optima
Atleta_01,2026-06-27,4.84,376.8,304.02,481.39,471.52,1.02,Zona Optima
Atleta_01,2026-06-28,9.13,339.5,467.41,487.37,467.81,1.04,Zona Optima
Atleta_02,2026-03-01,7.8,651.2,504.84,504.84,504.84,1.0,Zona Optima
Atleta_02,2026-03-02,6.1,340.8,351.1,427.97,427.97,1.0,Zona Optima
Atleta_02,2026-03-03,11.56,274.8,735.53,530.49,530.49,1.0,Zona Optima
Atleta_02,2026-03-04,8.53,191.1,392.72,496.05,496.05,1.0,Zona Optima
Atleta_02,2026-03-05,8.94,735.2,572.86,511.41,511.41,1.0,Zona Optima
Atleta_02,2026-03-06,4.61,815.1,424.14,496.86,496.86,1.0,Zona Optima
Atleta_02,2026-03-07,9.55,651.7,576.28,508.21,508.21,1.0,Zona Optima
Atleta_02,2026-03-08,4.39,115.7,279.82,476.06,479.66,0.99,Zona Optima
Atleta_02,2026-03-09,3.77,116.5,189.5,452.98,447.42,1.01,Zona Optima
Atleta_02,2026-03-10,11.22,154.0,497.05,418.91,452.38,0.93,Zona Optima
Atleta_02,2026-03-11,8.46,770.7,567.57,443.89,462.86,0.96,Zona Optima
Atleta_02,2026-03-12,5.98,612.3,410.56,420.7,458.5,0.92,Zona Optima
Atleta_02,2026-03-13,7.83,866.7,569.55,441.48,467.04,0.95,Zona Optima
Atleta_02,2026-03-14,9.82,313.3,662.57,453.8,481.01,0.94,Zona Optima
Atleta_02,2026-03-15,6.38,704.7,461.25,479.72,479.69,1.0,Zona Optima
Atleta_02,2026-03-16,4.1,514.3,314.22,497.54,469.35,1.06,Zona Optima
Atleta_02,2026-03-17,11.5,797.2,703.79,527.07,483.14,1.09,Zona Optima
Atleta_02,2026-03-18,5.68,348.8,331.46,493.34,474.71,1.04,Zona Optima
Atleta_02,2026-03-19,11.3,322.8,542.45,512.18,478.28,1.07,Zona Optima
Atleta_02,2026-03-20,9.84,413.6,530.23,506.57,480.87,1.05,Zona Optima
Atleta_02,2026-03-21,10.22,860.8,669.37,507.54,489.85,1.04,Zona Optima
Atleta_02,2026-03-22,11.87,454.7,611.07,528.94,495.36,1.07,Zona Optima
Atleta_02,2026-03-23,7.51,501.3,455.34,549.1,493.62,1.11,Zona Optima
Atleta_02,2026-03-24,12.32,513.2,874.86,573.54,509.51,1.13,Zona Optima
Atleta_02,2026-03-25,9.76,266.6,634.07,616.77,514.49,1.2,Zona Optima
Atleta_02,2026-03-26,10.62,646.2,831.17,658.02,526.67,1.25,Zona Optima
Atleta_02,2026-03-27,5.22,583.8,379.15,636.43,521.2,1.22,Zona Optima
Atleta_02,2026-03-28,12.18,782.5,713.72,642.77,528.08,1.22,Zona Optima
Atleta_02,2026-03-29,7.23,574.9,466.59,622.13,526.71,1.18,Zona Optima
Atleta_02,2026-03-30,10.32,387.6,527.1,632.38,533.0,1.19,Zona Optima
Atleta_02,2026-03-31,7.45,656.3,486.6,576.91,524.11,1.1,Zona Optima
Atleta_02,2026-04-01,9.24,498.9,513.85,559.74,528.44,1.06,Zona Optima
Atleta_02,2026-04-02,10.63,821.8,663.53,535.79,531.67,1.01,Zona Optima
Atleta_02,2026-04-03,10.95,410.3,567.05,562.63,536.78,1.05,Zona Optima
Atleta_02,2026-04-04,6.61,734.4,655.93,554.38,539.62,1.03,Zona Optima
Atleta_02,2026-04-05,10.43,515.5,568.29,568.91,549.92,1.03,Zona Optima
Atleta_02,2026-04-06,8.26,487.4,471.66,560.99,560.0,1.0,Zona Optima
Atleta_02,2026-04-07,10.46,422.3,555.1,570.77,562.08,1.02,Zona Optima
Atleta_02,2026-04-08,5.83,818.6,472.18,564.82,558.67,1.01,Zona Optima
Atleta_02,2026-04-09,6.85,568.0,448.63,534.12,560.03,0.95,Zona Optima
Atleta_02,2026-04-10,4.61,172.4,242.01,487.69,548.33,0.89,Zona Optima
Atleta_02,2026-04-11,7.1,757.9,502.3,465.74,542.61,0.86,Zona Optima
Atleta_02,2026-04-12,10.79,434.0,574.24,466.59,546.64,0.85,Zona Optima
Atleta_02,2026-04-13,4.64,601.5,366.97,451.63,548.53,0.82,Zona Optima
Atleta_02,2026-04-14,6.52,240.0,331.35,419.67,535.22,0.78,Subentrenamiento
Atleta_02,2026-04-15,8.95,314.2,450.27,416.54,539.47,0.77,Subentrenamiento
Atleta_02,2026-04-16,5.21,380.2,431.49,414.09,535.5,0.77,Subentrenamiento
Atleta_02,2026-04-17,9.57,421.8,519.96,453.8,535.14,0.85,Zona Optima
Atleta_02,2026-04-18,10.36,269.2,500.09,453.48,529.09,0.86,Zona Optima
Atleta_02,2026-04-19,11.93,468.5,625.28,460.77,529.6,0.87,Zona Optima
Atleta_02,2026-04-20,6.04,269.6,319.69,454.02,524.75,0.87,Zona Optima
Atleta_02,2026-04-21,8.83,447.1,480.11,475.27,510.66,0.93,Zona Optima
Atleta_02,2026-04-22,7.54,532.9,455.95,476.08,504.29,0.94,Zona Optima
Atleta_02,2026-04-23,11.95,730.7,702.44,514.79,499.7,1.03,Zona Optima
Atleta_02,2026-04-24,7.81,825.4,556.47,520.0,506.03,1.03,Zona Optima
Atleta_02,2026-04-25,12.35,831.8,745.1,555.01,507.15,1.09,Zona Optima
Atleta_02,2026-04-26,6.52,763.9,490.12,535.7,507.99,1.05,Zona Optima
Atleta_02,2026-04-27,5.08,897.2,636.04,580.89,511.88,1.13,Zona Optima
Atleta_02,2026-04-28,9.49,225.9,455.57,577.38,510.77,1.13,Zona Optima
Atleta_02,2026-04-29,8.46,215.8,396.27,568.86,506.57,1.12,Zona Optima
Atleta_02,2026-04-30,9.07,753.4,594.3,553.41,504.1,1.1,Zona Optima
Atleta_02,2026-05-01,8.98,467.9,670.92,569.76,507.81,1.12,Zona Optima
Atleta_02,2026-05-02,10.61,399.0,531.46,539.24,503.37,1.07,Zona Optima
Atleta_02,2026-05-03,8.4,230.3,411.16,527.96,497.75,1.06,Zona Optima
Atleta_02,2026-05-04,11.41,893.7,722.93,540.37,506.73,1.07,Zona Optima
Atleta_02,2026-05-05,10.78,719.4,644.77,567.4,509.93,1.11,Zona Optima
Atleta_02,2026-05-06,7.83,150.4,357.68,561.89,505.84,1.11,Zona Optima
Atleta_02,2026-05-07,10.94,822.6,681.89,574.4,514.17,1.12,Zona Optima
Atleta_02,2026-05-08,8.18,646.7,523.38,553.32,524.22,1.06,Zona Optima
Atleta_02,2026-05-09,5.52,319.3,313.95,522.25,517.49,1.01,Zona Optima
Atleta_02,2026-05-10,9.63,462.7,527.95,538.94,515.84,1.04,Zona Optima
Atleta_02,2026-05-11,4.7,762.8,560.72,515.76,522.76,0.99,Zona Optima
Atleta_02,2026-05-12,11.79,535.7,633.8,514.2,533.56,0.96,Zona Optima
Atleta_02,2026-05-13,4.91,419.9,326.81,509.79,529.15,0.96,Zona Optima
Atleta_02,2026-05-14,7.1,825.8,536.2,488.97,532.89,0.92,Zona Optima
Atleta_02,2026-05-15,12.39,837.0,738.84,519.75,540.71,0.96,Zona Optima
Atleta_02,2026-05-16,11.95,424.6,614.87,562.74,544.81,1.03,Zona Optima
Atleta_02,2026-05-17,12.02,820.9,733.84,592.15,548.69,1.08,Zona Optima
Atleta_02,2026-05-18,10.72,614.9,613.0,599.62,559.16,1.07,Zona Optima
Atleta_02,2026-05-19,11.17,175.1,498.4,580.28,559.82,1.04,Zona Optima
Atleta_02,2026-05-20,10.87,267.3,509.61,606.39,561.73,1.08,Zona Optima
Atleta_02,2026-05-21,9.36,475.0,689.32,628.27,561.26,1.12,Zona Optima
Atleta_02,2026-05-22,4.41,291.0,261.6,560.09,550.73,1.02,Zona Optima
Atleta_02,2026-05-23,9.25,633.2,756.62,580.34,551.14,1.05,Zona Optima
Atleta_02,2026-05-24,9.83,894.7,658.99,569.65,557.17,1.02,Zona Optima
Atleta_02,2026-05-25,8.35,159.3,378.24,536.11,547.97,0.98,Zona Optima
Atleta_02,2026-05-26,10.8,305.6,523.85,539.75,550.41,0.98,Zona Optima
Atleta_02,2026-05-27,7.91,172.3,366.36,519.28,549.34,0.95,Zona Optima
Atleta_02,2026-05-28,4.76,116.8,217.4,451.87,535.88,0.84,Zona Optima
Atleta_02,2026-05-29,5.09,675.8,542.97,492.06,531.31,0.93,Zona Optima
Atleta_02,2026-05-30,11.24,458.2,599.52,469.62,533.74,0.88,Zona Optima
Atleta_02,2026-05-31,12.11,672.4,675.93,472.04,543.19,0.87,Zona Optima
Atleta_02,2026-06-01,4.86,544.1,359.11,469.31,530.2,0.89,Zona Optima
Atleta_02,2026-06-02,3.83,338.5,257.0,431.18,516.35,0.84,Zona Optima
Atleta_02,2026-06-03,12.17,121.8,529.41,454.48,522.48,0.87,Zona Optima
Atleta_02,2026-06-04,12.31,598.2,669.83,519.11,522.05,0.99,Zona Optima
Atleta_02,2026-06-05,4.5,635.3,366.99,493.97,516.47,0.96,Zona Optima
Atleta_02,2026-06-06,5.39,404.2,326.68,454.99,516.92,0.88,Zona Optima
Atleta_02,2026-06-07,4.56,872.6,444.43,421.92,513.94,0.82,Zona Optima
Atleta_02,2026-06-08,7.58,108.5,338.93,419.04,506.02,0.83,Zona Optima
Atleta_02,2026-06-09,8.5,371.0,443.41,445.67,499.22,0.89,Zona Optima
Atleta_02,2026-06-10,8.53,314.1,441.32,433.08,503.31,0.86,Zona Optima
Atleta_02,2026-06-11,5.4,512.8,366.99,389.82,497.27,0.78,Subentrenamiento
Atleta_02,2026-06-12,9.29,464.3,502.12,409.13,488.81,0.84,Zona Optima
Atleta_02,2026-06-13,8.6,666.7,534.08,438.75,485.93,0.9,Zona Optima
Atleta_02,2026-06-14,5.74,756.9,615.62,463.21,481.7,0.96,Zona Optima
Atleta_02,2026-06-15,7.5,625.3,490.22,484.82,477.32,1.02,Zona Optima
Atleta_02,2026-06-16,4.82,807.1,435.54,483.7,475.07,1.02,Zona Optima
Atleta_02,2026-06-17,5.81,425.9,363.4,472.57,469.85,1.01,Zona Optima
Atleta_02,2026-06-18,10.75,800.2,665.9,515.27,469.02,1.1,Zona Optima
Atleta_02,2026-06-19,10.51,222.2,484.77,512.79,476.99,1.08,Zona Optima
Atleta_02,2026-06-20,8.04,769.4,547.73,514.74,469.53,1.1,Zona Optima
Atleta_02,2026-06-21,10.35,877.4,677.45,523.57,470.19,1.11,Zona Optima
Atleta_02,2026-06-22,8.02,369.6,429.38,514.88,472.01,1.09,Zona Optima
Atleta_02,2026-06-23,7.49,306.1,534.82,529.06,472.4,1.12,Zona Optima
Atleta_02,2026-06-24,6.17,453.1,516.98,551.0,477.78,1.15,Zona Optima
Atleta_02,2026-06-25,6.45,826.3,510.38,528.79,488.25,1.08,Zona Optima
Atleta_02,2026-06-26,8.2,372.8,593.63,544.34,490.06,1.11,Zona Optima
Atleta_02,2026-06-27,11.48,189.2,513.28,539.42,486.98,1.11,Zona Optima
Atleta_02,2026-06-28,7.55,328.5,543.33,520.26,482.24,1.08,Zona Optima
Atleta_03,2026-03-01,11.98,357.2,791.32,791.32,791.32,1.0,Zona Optima
Atleta_03,2026-03-02,8.01,923.3,807.89,799.6,799.6,1.0,Zona Optima
Atleta_03,2026-03-03,13.08,933.7,806.15,801.79,801.79,1.0,Zona Optima
Atleta_03,2026-03-04,12.53,886.0,767.9,793.32,793.32,1.0,Zona Optima
Atleta_03,2026-03-05,12.35,702.9,700.65,774.78,774.78,1.0,Zona Optima
Atleta_03,2026-03-06,6.8,480.9,415.48,714.9,714.9,1.0,Zona Optima
Atleta_03,2026-03-07,8.01,541.5,653.86,706.18,706.18,1.0,Zona Optima
Atleta_03,2026-03-08,9.99,754.1,629.16,683.01,696.55,0.98,Zona Optima
Atleta_03,2026-03-09,9.41,562.3,550.21,646.2,680.29,0.95,Zona Optima
Atleta_03,2026-03-10,8.55,308.9,433.85,593.02,655.65,0.9,Zona Optima
Atleta_03,2026-03-11,12.98,907.2,1065.44,635.52,692.9,0.92,Zona Optima
Atleta_03,2026-03-12,11.9,509.2,617.66,623.67,686.63,0.91,Zona Optima
Atleta_03,2026-03-13,11.04,223.5,514.73,637.84,673.41,0.95,Zona Optima
Atleta_03,2026-03-14,9.71,168.5,437.81,606.98,656.58,0.92,Zona Optima
Atleta_03,2026-03-15,10.43,225.7,494.83,587.79,645.8,0.91,Zona Optima
Atleta_03,2026-03-16,9.22,609.3,556.18,588.64,640.2,0.92,Zona Optima
Atleta_03,2026-03-17,6.34,396.2,374.35,580.14,624.56,0.93,Zona Optima
Atleta_03,2026-03-18,9.02,418.2,484.03,497.08,616.75,0.81,Zona Optima
Atleta_03,2026-03-19,4.06,587.3,459.37,474.47,608.47,0.78,Subentrenamiento
Atleta_03,2026-03-20,6.88,875.9,531.78,476.91,604.63,0.79,Subentrenamiento
Atleta_03,2026-03-21,5.21,349.1,316.62,459.59,590.92,0.78,Subentrenamiento
Atleta_03,2026-03-22,11.93,208.5,537.78,465.73,588.5,0.79,Subentrenamiento
Atleta_03,2026-03-23,10.05,208.8,466.18,452.87,583.18,0.78,Subentrenamiento
Atleta_03,2026-03-24,11.24,262.3,532.56,475.47,581.07,0.82,Zona Optima
Atleta_03,2026-03-25,7.07,361.0,534.69,482.71,579.22,0.83,Zona Optima
Atleta_03,2026-03-26,7.73,113.3,344.8,466.34,570.2,0.82,Zona Optima
Atleta_03,2026-03-27,5.27,888.0,478.84,458.78,566.82,0.81,Zona Optima
Atleta_03,2026-03-28,7.42,615.2,480.53,482.2,563.74,0.86,Zona Optima
Atleta_03,2026-03-29,7.31,872.1,747.97,512.22,562.19,0.91,Zona Optima
Atleta_03,2026-03-30,12.77,781.8,735.57,550.71,559.61,0.98,Zona Optima
Atleta_03,2026-03-31,5.86,324.0,334.93,522.48,542.78,0.96,Zona Optima
Atleta_03,2026-04-01,8.59,681.9,555.96,525.51,535.21,0.98,Zona Optima
Atleta_03,2026-04-02,12.77,605.3,687.59,574.48,534.74,1.07,Zona Optima
Atleta_03,2026-04-03,11.17,285.8,536.81,582.77,539.07,1.08,Zona Optima
Atleta_03,2026-04-04,5.4,516.5,372.28,567.3,529.02,1.07,Zona Optima
Atleta_03,2026-04-05,11.82,478.9,622.13,549.32,528.77,1.04,Zona Optima
Atleta_03,2026-04-06,10.92,639.3,619.67,532.77,531.25,1.0,Zona Optima
Atleta_03,2026-04-07,5.34,594.3,385.66,540.01,529.53,1.02,Zona Optima
Atleta_03,2026-04-08,7.83,687.4,521.88,535.15,510.11,1.05,Zona Optima
Atleta_03,2026-04-09,5.67,425.0,355.15,487.65,500.74,0.97,Zona Optima
Atleta_03,2026-04-10,12.72,582.3,682.69,508.49,506.74,1.0,Zona Optima
Atleta_03,2026-04-11,10.41,679.7,622.36,544.22,513.33,1.06,Zona Optima
Atleta_03,2026-04-12,10.28,583.0,588.86,539.47,516.69,1.04,Zona Optima
Atleta_03,2026-04-13,4.64,113.3,219.24,482.26,504.65,0.96,Zona Optima
Atleta_03,2026-04-14,8.48,526.4,505.93,499.44,509.35,0.98,Zona Optima
Atleta_03,2026-04-15,10.0,575.7,577.51,507.39,512.69,0.99,Zona Optima
Atleta_03,2026-04-16,8.33,363.7,438.66,519.32,511.95,1.01,Zona Optima
Atleta_03,2026-04-17,8.32,359.1,441.17,484.82,508.72,0.95,Zona Optima
Atleta_03,2026-04-18,12.61,876.8,1033.55,543.56,534.32,1.02,Zona Optima
Atleta_03,2026-04-19,5.48,348.0,433.04,521.3,530.58,0.98,Zona Optima
Atleta_03,2026-04-20,11.09,273.5,709.09,591.28,539.25,1.1,Zona Optima
Atleta_03,2026-04-21,12.15,734.3,706.6,619.95,545.47,1.14,Zona Optima
Atleta_03,2026-04-22,8.7,464.1,482.0,606.3,543.59,1.12,Zona Optima
Atleta_03,2026-04-23,6.24,818.5,489.95,613.63,548.77,1.12,Zona Optima
Atleta_03,2026-04-24,10.55,452.3,549.19,629.06,551.28,1.14,Zona Optima
Atleta_03,2026-04-25,8.94,672.3,557.28,561.02,554.03,1.01,Zona Optima
Atleta_03,2026-04-26,4.41,898.6,446.77,562.98,543.27,1.04,Zona Optima
Atleta_03,2026-04-27,12.84,335.0,610.42,548.89,538.8,1.02,Zona Optima
Atleta_03,2026-04-28,6.95,729.9,500.11,519.39,544.7,0.95,Zona Optima
Atleta_03,2026-04-29,8.0,936.8,599.1,536.12,546.24,0.98,Zona Optima
Atleta_03,2026-04-30,5.65,612.8,409.92,524.68,536.32,0.98,Zona Optima
Atleta_03,2026-05-01,12.86,454.3,655.86,539.92,540.57,1.0,Zona Optima
Atleta_03,2026-05-02,5.03,676.5,407.52,518.53,541.83,0.96,Zona Optima
Atleta_03,2026-05-03,6.09,327.4,338.97,503.13,531.72,0.95,Zona Optima
Atleta_03,2026-05-04,5.01,304.6,285.89,456.77,519.8,0.88,Zona Optima
Atleta_03,2026-05-05,7.95,478.7,457.88,450.73,522.38,0.86,Zona Optima
Atleta_03,2026-05-06,5.12,630.7,395.23,421.61,517.86,0.81,Zona Optima
